Subject,trial_number,State_1,State_2,State_3,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_reward,State_2_reward,State_3_reward,State_4_reward,State_1_shock,State_2_shock,State_3_shock,State_4_shock
4002,0,2,6,10,5.026420379513183,6.906486444689108,7.870322991625471,nan,nan,0.0,0.38,0.29,0.69,0.55,1.0,1.0,0.0,1.0
4002,1,2,6,10,5.586379313057478,6.906486444689108,7.870322991625471,nan,nan,0.0,0.32,0.3,0.63,0.63,1.0,0.0,0.0,0.0
4002,2,1,3,7,5.078874508636545,7.309635654038175,7.579148162269121,0.32,1.0,0.0,0.32,0.29,0.56,0.56,1.0,0.0,1.0,0.0
4002,3,2,5,7,6.257382371618405,7.986509126976671,7.579148162269121,nan,nan,0.0,0.43,0.35,0.52,0.54,1.0,1.0,0.0,0.0
4002,4,2,5,7,5.873816720019022,6.920926653127026,7.579148162269121,nan,nan,0.0,0.55,0.54,0.48,0.44,1.0,1.0,0.0,0.0
4002,5,2,5,9,5.647678730969346,6.375439394005298,6.917079769280463,0.46,0.0,0.0,0.52,0.61,0.46,0.45,1.0,0.0,0.0,0.0
4002,6,nan,nan,nan,nan,nan,nan,0.43,1.0,1.0,0.53,0.54,0.43,0.46,1.0,0.0,1.0,0.0
4002,7,nan,nan,nan,nan,nan,nan,0.45,0.0,1.0,0.53,0.47,0.42,0.45,0.0,0.0,1.0,0.0
4002,8,nan,nan,nan,nan,nan,nan,0.46,0.0,1.0,0.46,0.45,0.28,0.29,0.0,0.0,1.0,0.0
4002,9,2,5,9,5.696371001351508,6.6933713558455565,7.364577939065384,0.39,1.0,0.0,0.44,0.48,0.39,0.4,0.0,0.0,1.0,0.0
4002,10,1,6,8,4.963539963305266,6.07739225997102,7.420003929900304,0.39,0.0,0.0,0.42,0.39,0.3,0.28,0.0,0.0,1.0,0.0
4002,11,1,4,8,5.368508174293311,6.490519868258161,7.618254019528649,0.37,1.0,0.0,0.46,0.37,0.28,0.27,0.0,1.0,1.0,0.0
4002,12,1,4,8,5.368508174293311,6.490519868258161,7.618254019528649,nan,nan,0.0,0.49,0.35,0.37,0.37,1.0,0.0,1.0,1.0
4002,13,1,5,8,5.409249927945893,6.391171381486856,7.407141372311344,0.42,0.0,0.0,0.58,0.42,0.36,0.28,0.0,0.0,0.0,1.0
4002,14,1,4,8,5.243508550881415,6.2769923741852836,7.018725272841948,0.58,0.0,0.0,0.6,0.58,0.22,0.2,0.0,0.0,0.0,1.0
4002,15,nan,nan,nan,nan,nan,nan,0.58,0.0,1.0,0.56,0.58,0.17,0.09,0.0,0.0,0.0,1.0
4002,16,2,3,7,5.334473361534037,7.4241745116833044,7.932572079696911,0.63,0.0,0.0,0.63,0.57,0.08,0.06,0.0,0.0,1.0,0.0
4002,17,nan,nan,nan,nan,nan,nan,0.07,1.0,1.0,0.54,0.52,0.02,0.07,0.0,0.0,1.0,1.0
4002,18,1,4,nan,5.6676817235857015,6.519243624707087,nan,nan,nan,0.0,0.66,0.61,0.08,0.0,0.0,0.0,1.0,1.0
4002,19,nan,nan,nan,nan,nan,nan,0.09,1.0,1.0,0.62,0.56,0.09,0.05,0.0,0.0,1.0,1.0
4002,20,1,6,nan,6.189365970476501,7.3206815532012115,nan,nan,nan,0.0,0.6,0.56,0.11,0.08,0.0,0.0,0.0,1.0
4002,21,nan,nan,nan,nan,nan,nan,0.66,1.0,1.0,0.7,0.66,0.18,0.14,0.0,1.0,0.0,1.0
4002,22,nan,nan,nan,nan,nan,nan,0.14,1.0,1.0,0.67,0.71,0.14,0.07,0.0,0.0,1.0,1.0
4002,23,1,3,7,5.190661096963595,6.338910065197524,6.897476461603219,0.61,0.0,0.0,0.61,0.69,0.14,0.13,0.0,0.0,0.0,1.0
4002,24,nan,nan,nan,nan,nan,nan,0.73,1.0,1.0,0.73,0.74,0.17,0.12,1.0,1.0,0.0,0.0
4002,25,2,5,9,6.033656216724012,6.783223475766135,7.354281867593272,0.35,0.0,0.0,0.77,0.61,0.35,0.23,1.0,0.0,0.0,0.0
4002,26,nan,nan,nan,nan,nan,nan,0.28,0.0,1.0,0.72,0.68,0.26,0.28,1.0,0.0,0.0,0.0
4002,27,nan,nan,nan,nan,nan,nan,0.65,1.0,1.0,0.74,0.65,0.43,0.33,1.0,1.0,0.0,0.0
4002,28,1,4,8,4.853271441305878,5.516632617571304,5.9173070607994305,0.73,0.0,0.0,0.66,0.73,0.29,0.38,1.0,0.0,0.0,0.0
4002,29,1,4,8,5.215040873978069,6.3810018434378435,7.721398843726092,0.65,0.0,0.0,0.75,0.65,0.34,0.41,0.0,0.0,1.0,0.0
4002,30,2,6,10,5.560784748236983,6.624775177222546,7.168159236622159,0.32,0.0,0.0,0.63,0.63,0.26,0.32,0.0,0.0,1.0,0.0
4002,31,nan,nan,nan,nan,nan,nan,0.7,0.0,1.0,0.72,0.7,0.2,0.29,1.0,0.0,1.0,0.0
4002,32,2,6,10,5.7957024161523805,7.677869003094202,7.930664705510935,0.27,1.0,0.0,0.58,0.51,0.31,0.27,0.0,1.0,1.0,1.0
4002,33,2,5,9,5.345136647727486,7.070301701874087,7.837866833949192,0.39,1.0,0.0,0.47,0.47,0.39,0.38,1.0,0.0,1.0,0.0
4002,34,1,3,9,5.1987947189363695,7.857701784823803,7.837866833949192,nan,nan,0.0,0.54,0.47,0.4,0.34,1.0,0.0,1.0,0.0
4002,35,1,3,7,5.523161139644799,6.044239833726351,6.51629151292218,0.49,1.0,0.0,0.49,0.55,0.44,0.41,1.0,0.0,0.0,0.0
4002,36,2,5,9,5.9123280710373365,6.854560207648319,7.2242255936944275,0.48,0.0,0.0,0.39,0.42,0.48,0.45,1.0,0.0,0.0,0.0
4002,37,1,4,8,5.673146762367651,6.344376442957582,6.683157296776699,0.31,0.0,0.0,0.35,0.31,0.51,0.46,1.0,0.0,1.0,0.0
4002,38,2,5,9,6.070290320561071,6.779495091474018,7.292720009988443,0.4,0.0,0.0,0.36,0.26,0.4,0.46,1.0,0.0,0.0,0.0
4002,39,nan,nan,nan,nan,nan,nan,0.28,0.0,1.0,0.36,0.28,0.49,0.41,0.0,0.0,1.0,0.0
4002,40,1,4,10,4.943525924120877,6.076706703225682,6.1101302725192,0.5,0.0,0.0,0.36,0.34,0.48,0.5,1.0,0.0,1.0,0.0
4002,41,1,4,8,5.449119337419688,6.586633384136803,7.443856819063512,0.29,0.0,0.0,0.31,0.29,0.51,0.45,0.0,0.0,1.0,0.0
4002,42,1,4,8,5.219491636910789,5.813447222340983,6.180071119817512,0.13,0.0,0.0,0.25,0.13,0.4,0.41,0.0,0.0,1.0,0.0
4002,43,2,3,7,5.505582031986705,6.488580693343465,6.996799507792275,0.2,0.0,0.0,0.2,0.15,0.51,0.54,0.0,0.0,1.0,1.0
4002,44,2,5,9,5.843211699454514,7.193187413740816,7.668355564273952,0.49,0.0,0.0,0.17,0.02,0.49,0.45,0.0,0.0,0.0,1.0
4002,45,2,5,8,5.63951029556938,6.497470503151817,7.010109953527717,0.01,0.0,0.0,0.12,0.01,0.6,0.52,0.0,0.0,0.0,1.0
4002,46,nan,nan,nan,nan,nan,nan,0.55,0.0,1.0,0.16,0.07,0.55,0.62,0.0,0.0,0.0,1.0
4002,47,1,3,7,4.9777234227094596,6.024967923108306,7.263376976206018,0.18,0.0,0.0,0.18,0.13,0.58,0.62,0.0,1.0,0.0,1.0
4002,48,1,3,7,5.645944754435732,6.709654332781611,6.966704972595835,0.06,1.0,0.0,0.06,0.06,0.66,0.65,1.0,1.0,0.0,1.0
4002,49,nan,nan,nan,nan,nan,nan,0.65,0.0,1.0,0.0,0.0,0.65,0.68,0.0,0.0,0.0,1.0
4002,50,2,5,9,6.018813310646692,7.237569513880771,7.8136447215983935,0.67,0.0,0.0,0.03,0.01,0.67,0.67,0.0,1.0,0.0,1.0
4002,51,2,6,10,5.341252941985658,6.9636989669452305,7.82577720142217,0.72,0.0,0.0,0.16,0.2,0.65,0.72,0.0,1.0,0.0,0.0
