Subject,trial_number,State_1,State_2,State_3,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_reward,State_2_reward,State_3_reward,State_4_reward,State_1_shock,State_2_shock,State_3_shock,State_4_shock
M007,0,2,6,10,10.163324064229528,12.721177648501907,14.807604617213656,1.0,0.0,0,0.23,0.19,1.0,1.0,0.0,1.0,1.0,0.0
M007,1,2,5,9,10.111160318720067,12.216940271006024,14.473540199436684,0.92,0.0,0,0.24,0.17,0.92,0.92,0.0,1.0,0.0,0.0
M007,2,1,4,8,10.053045800228574,12.246215114901133,14.44350313974428,0.27,0.0,0,0.21,0.27,0.92,0.93,0.0,0.0,0.0,0.0
M007,3,1,3,7,10.534585415869515,12.539711710374831,14.113083767082571,0.24,0.0,0,0.24,0.26,0.91,0.9,0.0,1.0,0.0,0.0
M007,4,2,6,7,9.913102713679109,12.255216424760874,14.113083767082571,nan,nan,0,0.23,0.28,0.89,0.88,1.0,0.0,0.0,1.0
M007,5,2,6,7,9.913102713679109,12.255216424760874,14.113083767082571,nan,nan,1,0.36,0.23,0.88,0.92,0.0,1.0,0.0,0.0
M007,6,2,6,7,9.86767672811402,12.255216424760874,14.113083767082571,nan,nan,0,0.34,0.35,0.85,0.85,1.0,1.0,0.0,0.0
M007,7,2,6,10,10.077094595428207,12.499844175908947,14.555931809634785,0.74,0.0,0,0.38,0.34,0.78,0.74,1.0,0.0,0.0,0.0
M007,8,2,6,10,10.077094595428207,12.499844175908947,14.555931809634785,nan,nan,1,0.34,0.32,0.78,0.79,0.0,0.0,0.0,1.0
M007,9,2,6,10,10.077094595428207,12.499844175908947,14.555931809634785,nan,nan,1,0.34,0.38,0.8,0.79,0.0,0.0,1.0,0.0
M007,10,2,6,10,9.776883002719842,12.499844175908947,14.555931809634785,nan,nan,0,0.42,0.32,0.82,0.78,0.0,0.0,1.0,0.0
M007,11,2,5,9,10.069081789402844,12.207600533318328,14.414135571310908,0.81,1.0,0,0.37,0.33,0.81,0.81,0.0,0.0,1.0,0.0
M007,12,1,5,9,10.304952595000941,12.207600533318328,14.414135571310908,nan,nan,0,0.36,0.38,0.78,0.74,0.0,1.0,1.0,0.0
M007,13,1,3,7,10.5380336305534,12.476394910125236,14.44950111185608,0.39,1.0,0,0.39,0.38,0.81,0.78,1.0,0.0,1.0,0.0
M007,14,1,4,8,10.473352072393027,12.983595455894829,14.31752162372868,0.37,0.0,0,0.41,0.37,0.76,0.73,0.0,0.0,0.0,0.0
M007,15,2,6,10,10.088679137279541,12.226973936369177,14.401423606192111,0.74,0.0,0,0.31,0.4,0.8,0.74,1.0,0.0,0.0,0.0
M007,16,2,6,10,10.07611144753173,12.298077924093377,14.519794010931946,0.76,0.0,0,0.34,0.34,0.79,0.76,1.0,0.0,0.0,0.0
M007,17,2,6,10,10.068050103385758,12.237767139562493,14.509972574291169,0.75,0.0,0,0.34,0.35,0.75,0.75,1.0,0.0,0.0,0.0
M007,18,2,5,9,9.919893698181113,12.526112334606296,14.23045529087176,0.79,1.0,0,0.39,0.38,0.79,0.78,1.0,0.0,1.0,0.0
M007,19,2,6,10,10.11417001663358,12.870067146624933,14.339625546850584,0.76,1.0,0,0.37,0.36,0.78,0.76,1.0,0.0,0.0,1.0
M007,20,2,6,10,9.907313288094883,12.158308570524241,14.36602626480817,0.69,1.0,0,0.41,0.39,0.72,0.69,0.0,0.0,0.0,1.0
M007,21,2,5,9,9.996915653809992,12.096774625475518,14.486721812660107,0.74,0.0,0,0.52,0.44,0.74,0.72,0.0,0.0,0.0,1.0
M007,22,1,4,8,10.13662676163949,12.880174790774618,14.115536113527924,0.47,0.0,0,0.44,0.47,0.64,0.64,0.0,0.0,1.0,0.0
M007,23,1,3,7,10.198654121741129,12.169509828636365,14.144427004197496,0.57,0.0,0,0.57,0.5,0.67,0.63,0.0,0.0,0.0,1.0
M007,24,2,5,9,10.07823674750398,12.852874611318839,14.272560265093489,0.67,0.0,0,0.55,0.57,0.67,0.63,0.0,0.0,0.0,0.0
M007,25,2,5,9,9.789793137246306,12.226712165294884,14.515513283880864,0.64,0.0,0,0.62,0.61,0.64,0.6,0.0,1.0,0.0,1.0
M007,26,2,5,9,10.397181374886713,12.25131831195904,14.457147036679089,0.61,1.0,0,0.59,0.65,0.61,0.57,0.0,1.0,1.0,0.0
M007,27,2,6,10,10.162254886698065,12.370810449283454,14.354819985517679,0.59,0.0,0,0.58,0.6,0.57,0.59,0.0,1.0,0.0,0.0
M007,28,1,3,7,10.352704727913078,12.778112523403252,14.40326202916549,0.58,0.0,0,0.58,0.56,0.56,0.58,0.0,1.0,0.0,0.0
M007,29,1,4,8,10.050783924041752,12.3478589502447,14.710163178449875,0.56,0.0,0,0.53,0.56,0.56,0.55,0.0,0.0,0.0,1.0
M007,30,2,6,8,9.837492045608087,12.494826004247443,14.710163178449875,nan,nan,0,0.57,0.6,0.5,0.53,0.0,0.0,0.0,1.0
M007,31,2,5,9,10.050142886168032,12.18930534592073,14.160367256117752,0.49,0.0,0,0.6,0.65,0.49,0.51,0.0,0.0,0.0,0.0
M007,32,2,5,9,10.050142886168032,12.18930534592073,14.160367256117752,nan,nan,1,0.63,0.66,0.46,0.48,0.0,1.0,0.0,1.0
M007,33,1,3,7,9.746984862467798,12.534512106576585,14.096533273881505,0.62,0.0,0,0.62,0.68,0.49,0.4,0.0,0.0,0.0,1.0
M007,34,1,4,7,9.94645007285726,12.404449037152517,14.096533273881505,nan,nan,0,0.63,0.65,0.47,0.45,0.0,0.0,1.0,1.0
M007,35,1,4,8,10.127716502589465,12.384392753025168,14.716189938684693,0.76,0.0,0,0.71,0.76,0.45,0.44,1.0,0.0,0.0,0.0
M007,36,1,4,8,10.150336268718092,12.459338616288733,14.501782353079761,0.7,0.0,0,0.74,0.7,0.41,0.4,0.0,0.0,0.0,0.0
M007,37,1,4,8,10.279317440279556,12.771934458145552,14.642960985733225,0.69,1.0,0,0.75,0.69,0.42,0.35,1.0,1.0,0.0,0.0
M007,38,1,4,8,10.279317440279556,12.771934458145552,14.642960985733225,nan,nan,1,0.68,0.81,0.35,0.34,1.0,0.0,0.0,0.0
M007,39,1,4,8,10.279317440279556,12.771934458145552,14.642960985733225,nan,nan,1,0.74,0.73,0.34,0.32,1.0,0.0,0.0,0.0
M007,40,1,4,8,10.279317440279556,12.771934458145552,14.642960985733225,nan,nan,1,0.78,0.79,0.32,0.23,0.0,1.0,0.0,0.0
M007,41,1,4,8,10.279317440279556,12.771934458145552,14.642960985733225,nan,nan,1,0.77,0.76,0.28,0.26,1.0,1.0,0.0,0.0
M007,42,1,4,8,10.007332937664614,12.842309704643412,14.454612677553087,0.8,0.0,0,0.74,0.8,0.24,0.2,0.0,0.0,0.0,0.0
M007,43,1,4,8,9.869153960560652,12.341173410619376,14.63030458839421,0.83,1.0,0,0.75,0.83,0.27,0.22,0.0,1.0,0.0,0.0
M007,44,1,3,7,10.248025084496476,12.20447200070339,14.35920983964752,0.81,0.0,0,0.81,0.78,0.2,0.19,0.0,1.0,0.0,0.0
M007,45,1,3,7,10.248025084496476,12.20447200070339,14.35920983964752,nan,nan,1,0.89,0.85,0.15,0.17,1.0,1.0,1.0,0.0
M007,46,1,3,7,10.366706802669796,12.20447200070339,14.35920983964752,nan,nan,0,0.81,0.89,0.13,0.15,0.0,0.0,1.0,0.0
M007,47,1,3,7,10.233868357267056,12.573863798032107,14.244065378497908,0.88,0.0,0,0.88,0.97,0.16,0.1,0.0,0.0,0.0,0.0
M007,48,1,3,7,10.310130440328066,12.332768282718462,14.15292853883875,0.85,1.0,0,0.85,0.93,0.07,0.04,1.0,1.0,0.0,0.0
M007,49,1,4,8,9.746997248053958,12.840095697076322,14.298482296810107,0.94,0.0,0,1.0,0.94,0.02,0.0,1.0,0.0,1.0,0.0
M007,50,1,4,8,9.867964944100095,12.455704283038358,14.544159810240672,0.99,0.0,0,0.98,0.99,0.0,0.0,1.0,0.0,0.0,0.0
M007,51,1,4,8,9.867964944100095,12.455704283038358,14.544159810240672,nan,nan,1,0.97,1.0,0.12,0.1,0.0,0.0,0.0,0.0
M007,52,1,4,8,9.867964944100095,12.455704283038358,14.544159810240672,nan,nan,1,0.99,1.0,0.17,0.14,1.0,0.0,0.0,0.0
M007,53,1,4,8,10.18944158739032,12.21971029105407,14.207815105262853,0.98,0.0,0,1.0,0.98,0.23,0.19,1.0,0.0,0.0,0.0
M007,54,1,4,8,10.18944158739032,12.21971029105407,14.207815105262853,nan,nan,1,0.99,0.93,0.18,0.14,0.0,0.0,1.0,0.0
M007,55,1,4,8,10.665833150062099,12.39098791133074,14.159101582914445,0.93,0.0,0,0.86,0.93,0.24,0.2,1.0,0.0,1.0,0.0
M007,56,1,4,8,10.665833150062099,12.39098791133074,14.159101582914445,nan,nan,1,0.91,0.87,0.27,0.25,0.0,0.0,1.0,0.0
M007,57,1,4,8,9.890740366943646,12.597204271489318,14.20278622173646,0.9,0.0,0,0.89,0.9,0.26,0.22,0.0,0.0,1.0,0.0
