Subject,trial_number,State_1,State_2,State_3,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_reward,State_2_reward,State_3_reward,State_4_reward,State_1_shock,State_2_shock,State_3_shock,State_4_shock
M021,0,1,3,7,10.4316709536688,12.138099851237712,14.167089341497558,0.23,0.0,0,0.23,0.19,1.0,1.0,0.0,1.0,1.0,0.0
M021,1,1,3,7,10.473458854814453,12.138099851237712,14.167089341497558,nan,nan,0,0.24,0.17,0.92,0.92,0.0,1.0,0.0,0.0
M021,2,1,4,8,10.038702531095623,12.736550504732804,14.669935701651411,0.27,0.0,0,0.21,0.27,0.92,0.93,0.0,0.0,0.0,0.0
M021,3,2,5,9,9.92143235886033,12.788690145427609,14.39420498077925,0.91,0.0,0,0.24,0.26,0.91,0.9,0.0,1.0,0.0,0.0
M021,4,2,5,9,9.96131688427522,11.916622033633757,14.08816084227874,0.89,0.0,0,0.23,0.28,0.89,0.88,1.0,0.0,0.0,1.0
M021,5,2,5,9,9.96131688427522,11.916622033633757,14.08816084227874,nan,nan,1,0.36,0.23,0.88,0.92,0.0,1.0,0.0,0.0
M021,6,2,6,10,10.079629795764049,12.618937550798364,14.29559532210078,0.85,0.0,0,0.34,0.35,0.85,0.85,1.0,1.0,0.0,0.0
M021,7,2,5,9,10.153675998986728,12.184823942765433,14.197272207500646,0.78,0.0,0,0.38,0.34,0.78,0.74,1.0,0.0,0.0,0.0
M021,8,2,5,9,10.153675998986728,12.184823942765433,14.197272207500646,nan,nan,1,0.34,0.32,0.78,0.79,0.0,0.0,0.0,1.0
M021,9,1,3,7,9.953514918368455,12.34215672622122,14.246671268332648,0.34,0.0,0,0.34,0.38,0.8,0.79,0.0,0.0,1.0,0.0
M021,10,2,6,10,10.136075296821218,12.191004055803205,14.245300476279226,0.78,0.0,0,0.42,0.32,0.82,0.78,0.0,0.0,1.0,0.0
M021,11,2,5,9,9.771789066067868,12.241139226945961,14.249190245182035,0.81,1.0,0,0.37,0.33,0.81,0.81,0.0,0.0,1.0,0.0
M021,12,2,6,10,9.858183109699894,12.867877739408868,14.514003502799824,0.74,0.0,0,0.36,0.38,0.78,0.74,0.0,1.0,1.0,0.0
M021,13,1,4,8,9.950251127764204,12.08684093188458,14.550616203665413,0.38,0.0,0,0.39,0.38,0.81,0.78,1.0,0.0,1.0,0.0
M021,14,2,6,10,9.921993061348985,12.44689026031483,13.89900660256535,0.73,0.0,0,0.41,0.37,0.76,0.73,0.0,0.0,0.0,0.0
M021,15,2,5,9,10.37013427402053,12.491003654107772,14.32962276606122,0.8,0.0,0,0.31,0.4,0.8,0.74,1.0,0.0,0.0,0.0
M021,16,2,5,9,10.37013427402053,12.491003654107772,14.32962276606122,nan,nan,1,0.34,0.34,0.79,0.76,1.0,0.0,0.0,0.0
M021,17,2,6,10,9.945305229695805,12.152444796747659,14.962254512733125,0.75,0.0,0,0.34,0.35,0.75,0.75,1.0,0.0,0.0,0.0
M021,18,2,6,10,9.945305229695805,12.152444796747659,14.962254512733125,nan,nan,1,0.39,0.38,0.79,0.78,1.0,0.0,1.0,0.0
M021,19,2,6,10,9.945305229695805,12.152444796747659,14.962254512733125,nan,nan,1,0.37,0.36,0.78,0.76,1.0,0.0,0.0,1.0
M021,20,2,6,10,10.24540056585829,12.3672584560627,14.372847404567437,0.69,1.0,0,0.41,0.39,0.72,0.69,0.0,0.0,0.0,1.0
M021,21,2,6,10,10.24540056585829,12.3672584560627,14.372847404567437,nan,nan,1,0.52,0.44,0.74,0.72,0.0,0.0,0.0,1.0
M021,22,1,3,7,10.304821974450533,12.030009131918632,14.097453439935634,0.44,0.0,0,0.44,0.47,0.64,0.64,0.0,0.0,1.0,0.0
M021,23,1,3,7,10.304821974450533,12.030009131918632,14.097453439935634,nan,nan,0,0.57,0.5,0.67,0.63,0.0,0.0,0.0,1.0
M021,24,2,5,9,9.758793823502856,12.281794341692148,14.307529749032255,0.67,0.0,0,0.55,0.57,0.67,0.63,0.0,0.0,0.0,0.0
M021,25,2,5,9,9.758793823502856,12.281794341692148,14.307529749032255,nan,nan,1,0.62,0.61,0.64,0.6,0.0,1.0,0.0,1.0
M021,26,2,5,9,9.758793823502856,12.281794341692148,14.307529749032255,nan,nan,1,0.59,0.65,0.61,0.57,0.0,1.0,1.0,0.0
M021,27,2,5,9,10.442411000614811,12.630637654301609,14.151820157438124,0.57,0.0,0,0.58,0.6,0.57,0.59,0.0,1.0,0.0,0.0
M021,28,2,5,9,10.442411000614811,12.630637654301609,14.151820157438124,nan,nan,1,0.58,0.56,0.56,0.58,0.0,1.0,0.0,0.0
M021,29,2,6,10,9.854130653387983,12.385568153973509,13.99783250829205,0.55,1.0,0,0.53,0.56,0.56,0.55,0.0,0.0,0.0,1.0
M021,30,1,4,8,9.941828539522248,12.214598416509034,14.143754745049591,0.6,0.0,0,0.57,0.6,0.5,0.53,0.0,0.0,0.0,1.0
M021,31,1,4,8,9.941828539522248,12.214598416509034,14.143754745049591,nan,nan,1,0.6,0.65,0.49,0.51,0.0,0.0,0.0,0.0
M021,32,1,4,8,10.090789281643083,12.095735849206903,14.52668809944953,0.66,1.0,0,0.63,0.66,0.46,0.48,0.0,1.0,0.0,1.0
M021,33,1,4,8,10.090789281643083,12.095735849206903,14.52668809944953,nan,nan,1,0.62,0.68,0.49,0.4,0.0,0.0,0.0,1.0
M021,34,1,4,8,10.090789281643083,12.095735849206903,14.52668809944953,nan,nan,1,0.63,0.65,0.47,0.45,0.0,0.0,1.0,1.0
M021,35,1,3,7,10.210353814985865,12.481841608074319,14.556485336039259,0.71,1.0,0,0.71,0.76,0.45,0.44,1.0,0.0,0.0,0.0
M021,36,1,3,7,10.210353814985865,12.481841608074319,14.556485336039259,nan,nan,1,0.74,0.7,0.41,0.4,0.0,0.0,0.0,0.0
M021,37,1,4,8,10.16034015727746,12.28315643030328,14.258433300170509,0.69,1.0,0,0.75,0.69,0.42,0.35,1.0,1.0,0.0,0.0
M021,38,1,4,8,10.16034015727746,12.28315643030328,14.258433300170509,nan,nan,0,0.68,0.81,0.35,0.34,1.0,0.0,0.0,0.0
M021,39,1,4,8,9.84642609907678,12.531672158760557,14.246636454565305,0.73,0.0,0,0.74,0.73,0.34,0.32,1.0,0.0,0.0,0.0
M021,40,2,6,10,9.706594262959698,12.726116751982772,14.416840623916869,0.23,0.0,0,0.78,0.79,0.32,0.23,0.0,1.0,0.0,0.0
M021,41,1,3,7,9.756069646278775,12.08042683016538,14.40428189242266,0.77,1.0,0,0.77,0.76,0.28,0.26,1.0,1.0,0.0,0.0
