Subject,trial_number,State_1,State_2,State_3,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_reward,State_2_reward,State_3_reward,State_4_reward,State_1_shock,State_2_shock,State_3_shock,State_4_shock
,0,,,,,,,nan,nan,0.0,0.0,0.0,0.86,0.79,1.0,0.0,0.0,0.0
,1,nan,nan,nan,nan,nan,nan,0.65,0.0,1.0,0.1,0.04,0.72,0.65,1.0,0.0,0.0,0.0
,2,nan,nan,nan,nan,nan,nan,0.76,0.0,1.0,0.19,0.08,0.81,0.76,1.0,0.0,0.0,0.0
,3,nan,nan,nan,nan,nan,nan,0.76,0.0,1.0,0.14,0.08,0.76,0.7,0.0,0.0,0.0,1.0
,4,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.15,0.08,0.9,0.72,0.0,0.0,0.0,1.0
,5,nan,nan,nan,nan,nan,nan,0.64,1.0,1.0,0.2,0.12,0.68,0.64,0.0,0.0,0.0,1.0
,6,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.3,0.25,0.72,0.62,0.0,0.0,0.0,1.0
,7,nan,nan,nan,nan,nan,nan,0.21,0.0,1.0,0.28,0.21,0.73,0.65,0.0,0.0,0.0,1.0
,8,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.34,0.23,0.61,0.59,0.0,1.0,0.0,0.0
,9,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.33,0.25,0.49,0.5,0.0,1.0,0.0,0.0
,10,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.33,0.28,0.48,0.42,0.0,1.0,0.0,0.0
,11,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.34,0.29,0.4,0.38,0.0,1.0,0.0,0.0
,12,1,4,7,6.513943038824436,6.992756415171243,7.294790369871407,0.46,0.0,0.0,0.46,0.33,0.32,0.32,0.0,0.0,0.0,1.0
,13,2,5,9,6.659452762714864,6.848955908162679,7.128612377662648,0.47,0.0,0.0,0.5,0.44,0.47,0.38,0.0,0.0,0.0,1.0
,14,1,4,8,6.810635104957328,7.2685549284251465,7.562616554632768,0.46,0.0,0.0,0.5,0.46,0.31,0.24,0.0,0.0,0.0,1.0
,15,1,4,8,6.804342870380424,7.020575543470841,7.2515035986943985,0.47,0.0,0.0,0.5,0.47,0.34,0.27,0.0,0.0,1.0,0.0
,16,2,5,7,6.620078511501561,6.822767666008076,7.046255974812084,0.54,0.0,0.0,0.54,0.53,0.25,0.26,0.0,0.0,1.0,0.0
,17,1,4,8,6.398097567294826,6.70347262926407,7.012840215669712,0.56,0.0,0.0,0.62,0.56,0.25,0.27,0.0,0.0,1.0,0.0
,18,1,4,8,6.398097567294826,6.70347262926407,7.012840215669712,nan,nan,0.0,0.58,0.59,0.34,0.27,0.0,0.0,1.0,0.0
