Subject,trial_number,State_1_chosen,State_2_chosen,State_3_chosen,outcome_type,State_1_shown,State_2_shown,State_3_shown,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_shock,State_2_shock
M202,0,2,4,6,moves_entered,2,4,6,8.428215452935547,10.146317002654541,12.33534257474821,,1.0,0.0,0.0,1.0
M202,1,1,3,5,moves_entered,1,3,5,7.907088291540276,9.961629704863299,11.948126491450239,,1.0,0.0,1.0,0.0
M202,2,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M202,3,1,3,5,moves_entered,1,3,5,8.406044729053974,10.259371559426654,12.19768471387215,,0.0,0.0,0.0,1.0
M202,4,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,1.0,1.0,0.0,1.0
M202,5,1,3,5,moves_entered,1,3,5,8.25844733294798,9.739150213717949,11.789466496033128,,1.0,0.0,1.0,0.0
M202,6,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M202,7,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M202,8,2,nan,nan,too_few_moves,1,3,5,nan,nan,nan,,1.0,0.0,1.0,0.0
M202,9,2,4,6,moves_entered,2,4,6,7.648435091425199,9.819987393566407,11.80906839913223,,0.0,0.0,1.0,0.0
M202,10,2,4,6,moves_entered,2,4,6,7.988895557704382,10.010110589151736,11.882768849958666,,1.0,0.0,0.0,1.0
M202,11,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M202,12,2,4,6,moves_entered,2,4,6,8.243856203567702,10.464339285157621,11.635289383935742,,1.0,0.0,0.0,1.0
M202,13,1,4,6,too_few_moves,1,3,5,nan,10.464339285157621,11.635289383935742,,1.0,0.0,1.0,0.0
M202,14,1,4,6,too_few_moves,2,4,6,nan,10.464339285157621,11.635289383935742,,0.0,0.0,1.0,0.0
M202,15,1,4,6,too_few_moves,2,4,6,nan,10.464339285157621,11.635289383935742,,0.0,0.0,1.0,0.0
M202,16,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M202,17,1,3,5,moves_entered,1,3,5,7.708840539271478,9.82649614388356,11.851107816502918,,1.0,0.0,1.0,0.0
M202,18,2,4,6,moves_entered,2,4,6,7.539599305484444,10.310111626866274,11.754868758842349,,0.0,0.0,1.0,0.0
M202,19,2,4,6,moves_entered,2,4,6,7.968452444532886,10.01136554213008,11.697262435103767,,0.0,0.0,1.0,0.0
M202,20,2,4,6,moves_entered,2,4,6,7.673783199454192,10.244462423899677,11.712970268446952,,0.0,0.0,1.0,0.0
M202,21,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M202,22,2,4,6,moves_entered,2,4,6,7.896256665175315,9.714851861004718,12.023647611611523,,0.0,0.0,1.0,0.0
M202,23,2,4,6,moves_entered,2,4,6,7.704729555814993,10.408856908266898,12.182871984434314,,1.0,0.0,0.0,1.0
M202,24,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M202,25,2,4,6,moves_entered,2,4,6,7.547809221723583,10.698663670918904,12.523816489672754,,0.0,0.0,1.0,0.0
M202,26,2,4,6,moves_entered,2,4,6,7.341009110677987,9.794224538491108,11.868038802058436,,0.0,0.0,1.0,0.0
M202,27,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M202,28,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M202,29,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M202,30,2,4,6,moves_entered,2,4,6,7.779170124267694,9.848828883550595,11.78507767553674,,0.0,0.0,1.0,0.0
M202,31,2,4,6,moves_entered,2,4,6,7.6911433260538615,9.739023345988244,11.673521095362958,,0.0,0.0,1.0,0.0
M202,32,2,4,6,moves_entered,2,4,6,7.626502035418525,10.79947900539264,12.786053787218407,,1.0,0.0,0.0,1.0
M202,33,2,4,6,moves_entered,2,4,6,7.615102349431254,9.831450011231937,12.21902795205824,,0.0,0.0,1.0,0.0
M202,34,2,4,6,moves_entered,2,4,6,8.0569197650766,10.04342023388017,11.829012409958523,,0.0,0.0,1.0,0.0
M202,35,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M202,36,2,4,6,moves_entered,2,4,6,7.323177330603357,9.74330370966345,11.892855672340374,,1.0,0.0,0.0,1.0
M202,37,2,4,6,moves_entered,2,4,6,7.511448725883383,9.864968535781372,12.322343484906014,,0.0,0.0,1.0,0.0
M202,38,2,4,6,moves_entered,2,4,6,8.114090252842288,10.71812933345791,12.041840579768177,,1.0,0.0,0.0,1.0
M202,39,1,3,5,moves_entered,1,3,5,7.950767951493617,9.72588634188287,11.934127857908607,,0.0,0.0,0.0,1.0
M202,40,1,3,5,moves_entered,1,3,5,7.750702207908034,9.659847497590818,11.796844574972056,,0.0,0.0,0.0,1.0
M202,41,1,3,5,moves_entered,1,3,5,8.049271548166871,10.687750367098488,11.806763690896332,,1.0,0.0,1.0,0.0
M202,42,1,3,5,moves_entered,1,3,5,7.828163500700612,9.87267566745868,12.135648731025867,,0.0,0.0,0.0,1.0
M202,43,1,3,5,moves_entered,1,3,5,7.95192783739185,9.77051399514312,11.682792817649897,,1.0,0.0,1.0,0.0
M202,44,1,3,5,moves_entered,1,3,5,7.962931187124923,10.019716385344509,12.05221662047552,,1.0,0.0,1.0,0.0
M202,45,2,4,6,moves_entered,2,4,6,7.493079347885214,9.94004779466195,11.859921275055967,,0.0,0.0,1.0,0.0
M202,46,2,4,6,moves_entered,2,4,6,7.720181979879271,9.738954054133501,11.749847273342311,,0.0,0.0,1.0,0.0
M202,47,2,4,6,moves_entered,2,4,6,7.669019131571986,9.756061449472327,11.897657231485937,,0.0,0.0,1.0,0.0
M202,48,2,4,6,moves_entered,2,4,6,8.102307620458305,9.672457280918024,12.065465428866446,,1.0,0.0,0.0,1.0
M202,49,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M202,50,2,4,6,moves_entered,2,4,6,8.037165888468735,10.278408415731974,11.978794341383036,,1.0,0.0,0.0,1.0
M202,51,2,4,6,moves_entered,2,4,6,7.853600315749645,10.041796728444751,11.709262985445093,,1.0,0.0,0.0,1.0
M202,52,1,3,5,moves_entered,1,3,5,7.364001964277122,9.631447199441027,11.80640384182334,,0.0,0.0,0.0,1.0
M202,53,1,3,5,moves_entered,1,3,5,7.4913296442246065,9.705975805409253,12.674640142475255,,0.0,0.0,0.0,1.0
M202,54,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M202,55,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M202,56,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M202,57,2,4,6,moves_entered,2,4,6,7.463378906424623,9.803547476476524,12.124520856654271,,1.0,0.0,0.0,1.0
M202,58,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M202,59,1,3,5,moves_entered,1,3,5,7.8658576142042875,10.20279658009531,11.905456752341706,,0.0,0.0,0.0,1.0
M202,60,1,3,5,moves_entered,1,3,5,8.058714324317407,9.879182744130958,11.764996754645836,,0.0,0.0,0.0,1.0
M202,61,1,3,5,moves_entered,1,3,5,7.93185160291614,9.833242227323353,11.706880951533094,,1.0,0.0,1.0,0.0
M202,62,1,3,5,moves_entered,1,3,5,7.669514551816974,9.806601675110869,11.744959350442514,,0.0,0.0,0.0,1.0
M202,63,1,3,5,moves_entered,1,3,5,7.590727340488229,10.111827387590893,12.381854833220132,,1.0,0.0,1.0,0.0
M202,64,1,3,5,moves_entered,1,3,5,7.860861569235567,9.696134684665594,12.235774494125508,,0.0,0.0,0.0,1.0
M202,65,1,3,5,moves_entered,1,3,5,7.816803314490244,9.6544273327454,11.81335010175826,,0.0,0.0,0.0,1.0
M202,66,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M202,67,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M202,68,1,3,5,moves_entered,1,3,5,7.722102067957167,10.251647021155804,12.154382644512225,,0.0,0.0,0.0,1.0
M202,69,1,3,5,moves_entered,1,3,5,8.762155118049122,9.88028170663165,11.700011013017502,,1.0,0.0,1.0,0.0
M202,70,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,1.0,1.0,0.0,1.0
