Subject,trial_number,State_1_chosen,State_2_chosen,State_3_chosen,outcome_type,State_1_shown,State_2_shown,State_3_shown,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_shock,State_2_shock
M209,0,1,3,5,moves_entered,1,3,5,8.018786740055475,10.02178502650986,11.909297566791793,,0.0,0.0,0.0,1.0
M209,1,1,3,5,moves_entered,1,3,5,7.981251085820077,9.797637255207519,12.354915840774083,,1.0,0.0,1.0,0.0
M209,2,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M209,3,2,4,6,moves_entered,2,4,6,7.691550737052239,10.046161627624315,12.137680162471042,,1.0,0.0,0.0,1.0
M209,4,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,1.0,1.0,0.0,1.0
M209,5,1,3,5,moves_entered,1,3,5,7.880355081203561,10.346182749860418,11.848802944928138,,1.0,0.0,1.0,0.0
M209,6,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M209,7,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M209,8,1,3,5,moves_entered,1,3,5,7.8234904044456925,9.876124273735513,11.98542364813511,,1.0,0.0,1.0,0.0
M209,9,2,4,6,moves_entered,2,4,6,7.642075830503927,9.778347062787361,11.98721318027583,,0.0,0.0,1.0,0.0
M209,10,2,4,6,moves_entered,2,4,6,7.94214816830754,10.063896942229803,12.7347355017273,,1.0,0.0,0.0,1.0
M209,11,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M209,12,2,4,6,moves_entered,2,4,6,7.914047894253599,10.433431312393623,12.037961446394547,,1.0,0.0,0.0,1.0
M209,13,1,3,5,moves_entered,1,3,5,7.951370987151677,10.440970712395938,12.320893641336625,,1.0,0.0,1.0,0.0
M209,14,2,4,6,moves_entered,2,4,6,8.221382800206811,10.343903155046974,12.248875851793855,,0.0,0.0,1.0,0.0
M209,15,2,4,6,too_few_moves,2,4,6,8.221382800206811,10.343903155046974,12.248875851793855,,0.0,0.0,1.0,0.0
M209,16,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M209,17,1,3,5,moves_entered,1,3,5,7.453608237069602,9.693208380741453,11.910222794408583,,1.0,0.0,1.0,0.0
M209,18,2,4,6,moves_entered,2,4,6,8.49053834255119,10.218044750354238,12.703656021528332,,0.0,0.0,1.0,0.0
M209,19,1,3,5,moves_entered,1,3,5,8.082192950127137,10.061131971133364,12.166892115580595,,1.0,0.0,1.0,0.0
M209,20,1,3,5,moves_entered,1,3,5,7.7866754503038464,9.689814763673894,12.151466857335436,,1.0,0.0,1.0,0.0
