Subject,trial_number,State_1_chosen,State_2_chosen,State_3_chosen,outcome_type,State_1_shown,State_2_shown,State_3_shown,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_shock,State_2_shock
M212,0,1,3,5,too_few_moves,1,3,5,7.650074113152186,11.031604539714863,14.151919242774056,,0.0,0.0,0.0,1.0
M212,1,2,3,5,too_few_moves,1,3,5,nan,11.031604539714863,14.151919242774056,,1.0,0.0,1.0,0.0
M212,2,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M212,3,1,3,5,moves_entered,1,3,5,7.475590528512839,9.826377051836062,11.680868563302283,,0.0,0.0,0.0,1.0
M212,4,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,1.0,1.0,0.0,1.0
M212,5,2,4,6,moves_entered,2,4,6,7.474852409714913,9.660397733891841,11.687967558925266,,0.0,0.0,1.0,0.0
M212,6,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M212,7,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M212,8,2,4,6,moves_entered,2,4,6,7.551806901426971,9.739230495251832,11.809989810278239,,0.0,0.0,1.0,0.0
M212,9,2,4,6,moves_entered,2,4,6,7.635918969619524,9.855224943796202,11.721856417315394,,0.0,0.0,1.0,0.0
M212,10,1,3,5,moves_entered,1,3,5,7.8554067118266175,9.791801625802691,11.69309522502408,,0.0,0.0,0.0,1.0
M212,11,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M212,12,1,3,5,moves_entered,1,3,5,7.475403739266767,9.772425421548178,11.72171682750195,,0.0,0.0,0.0,1.0
M212,13,2,4,6,moves_entered,2,4,6,7.324019758151735,9.821178084466737,12.251626539337849,,0.0,0.0,1.0,0.0
M212,14,2,4,6,moves_entered,2,4,6,7.548327533270822,9.770329900607067,11.749325818022953,,0.0,0.0,1.0,0.0
M212,15,1,3,5,moves_entered,1,3,5,7.293026133087551,9.79006127222874,11.919593924193578,,1.0,0.0,1.0,0.0
M212,16,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,0.0,1.0,0.0,1.0
M212,17,1,3,5,moves_entered,1,3,5,7.603188673207114,10.473750420108445,12.096165665325316,,1.0,0.0,1.0,0.0
M212,18,2,4,6,moves_entered,2,4,6,7.852609224844855,10.15914042132681,11.927471543092906,,0.0,0.0,1.0,0.0
M212,19,2,4,6,moves_entered,2,4,6,7.6144137696483085,9.682990194568447,11.795126675245228,,0.0,0.0,1.0,0.0
M212,20,2,4,6,moves_entered,2,4,6,7.42066779499055,10.526356699173448,12.261144756980684,,0.0,0.0,1.0,0.0
M212,21,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M212,22,2,4,6,moves_entered,2,4,6,7.574343459229567,9.868851855372668,11.854257857533412,,0.0,0.0,1.0,0.0
M212,23,1,3,5,moves_entered,1,3,5,7.587715962513357,9.774144686012733,11.817951450863802,,0.0,0.0,0.0,1.0
M212,24,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M212,25,2,4,6,moves_entered,2,4,6,7.930863207338916,10.551279338967106,11.757927831062261,,0.0,0.0,1.0,0.0
M212,26,2,4,6,moves_entered,2,4,6,7.505522668448975,9.8767080504158,11.877731709048021,,0.0,0.0,1.0,0.0
M212,27,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M212,28,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M212,29,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M212,30,2,4,6,moves_entered,2,4,6,7.475024804808527,9.977658934885767,11.780912281359633,,0.0,0.0,1.0,0.0
M212,31,2,4,6,moves_entered,2,4,6,7.837079272285337,9.875207376233448,11.79485385582575,,0.0,0.0,1.0,0.0
M212,32,1,4,6,too_few_moves,2,4,6,nan,9.875207376233448,11.79485385582575,,1.0,0.0,0.0,1.0
M212,33,1,3,5,moves_entered,1,3,5,7.686074895123966,9.82358090384605,11.741335389131564,,1.0,0.0,1.0,0.0
M212,34,2,4,6,moves_entered,2,4,6,7.339757923813522,10.726972701990235,11.844287060927854,,0.0,0.0,1.0,0.0
M212,35,nan,nan,nan,moves_entered,nan,nan,5,nan,nan,nan,,1.0,1.0,1.0,0.0
M212,36,2,4,6,moves_entered,2,4,6,7.487757939881703,9.608529238877054,11.711040047882307,,1.0,0.0,0.0,1.0
M212,37,2,4,6,moves_entered,2,4,6,7.53323007480958,9.7859127433112,11.927340656721753,,0.0,0.0,1.0,0.0
M212,38,2,4,6,moves_entered,2,4,6,7.393713905823461,9.795580258452901,12.08530142696327,,1.0,0.0,0.0,1.0
M212,39,2,4,6,moves_entered,2,4,6,7.694322745039244,9.987257826737732,11.76853598739217,,1.0,0.0,0.0,1.0
M212,40,2,4,6,moves_entered,2,4,6,7.351231403088605,9.606253288896369,11.691124564995334,,1.0,0.0,0.0,1.0
M212,41,1,3,5,moves_entered,1,3,5,7.380912147460549,10.017275662097745,11.569373459323288,,1.0,0.0,1.0,0.0
M212,42,1,3,5,moves_entered,1,3,5,7.346518154709884,10.283170824456647,11.683899704216856,,0.0,0.0,0.0,1.0
M212,43,2,4,6,moves_entered,2,4,6,7.621823076438886,9.724667963702814,11.712031235982977,,0.0,0.0,1.0,0.0
M212,44,2,4,6,moves_entered,2,4,6,7.602608220601724,10.640302156713005,12.074576108919246,,0.0,0.0,1.0,0.0
M212,45,2,4,6,moves_entered,2,4,6,7.844706834612225,9.781646717931835,11.685471679670627,,0.0,0.0,1.0,0.0
M212,46,1,3,5,moves_entered,1,3,5,7.510908759812992,9.807932115832955,11.660459996973259,,1.0,0.0,1.0,0.0
M212,47,2,4,6,moves_entered,2,4,6,7.543722743164835,10.08097581648326,11.732621570342417,,0.0,0.0,1.0,0.0
M212,48,2,4,6,moves_entered,2,4,6,8.218151763919195,10.388673943636604,11.822929819463752,,1.0,0.0,0.0,1.0
M212,49,nan,nan,nan,moves_entered,nan,nan,6,nan,nan,nan,,0.0,1.0,1.0,0.0
M212,50,2,4,5,invalid_moves,2,4,6,nan,nan,nan,,1.0,0.0,0.0,1.0
M212,51,2,4,6,moves_entered,2,4,6,7.604471091854066,9.841102940290511,11.681299383662918,,1.0,0.0,0.0,1.0
M212,52,2,4,6,moves_entered,2,4,6,7.499474446026397,9.903040982498169,12.216413418832417,,1.0,0.0,0.0,1.0
